agno|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect4b_com|prom_mate4b_com|dif_lect4b_com|dif_mate4b_com|sigdif_lect4b_com|sigdif_mate4b_com
2017|4b|2|Región de Antofagasta|1|Tocopilla|1|Tocopilla|21|Antofagasta|251|240|4|4|0|0
2017|4b|2|Región de Antofagasta|1|Tocopilla|2|María Elena|21|Antofagasta|265|278|20|24|1|1
2017|4b|3|Región de Atacama|1|Chañaral|1|Chañaral|31|Copiapó - Chañaral|258|239|12|2|1|0
2017|4b|3|Región de Atacama|1|Chañaral|2|Diego de Almagro|31|Copiapó - Chañaral|259|243|-12|-29|-1|-1
2017|4b|4|Región de Coquimbo|1|Elqui|1|La Serena|41|Elqui|277|269|2|-1|0|0
2017|4b|4|Región de Coquimbo|1|Elqui|2|La Higuera|41|Elqui|247|253|-13|4|-1|0
2017|4b|4|Región de Coquimbo|1|Elqui|3|Coquimbo|41|Elqui|266|258|1|0|0|0
2017|4b|4|Región de Coquimbo|1|Elqui|4|Andacollo|41|Elqui|270|261|4|-3|0|0
2017|4b|4|Región de Coquimbo|1|Elqui|5|Vicuña|41|Elqui|255|244|0|-4|0|0
2017|4b|4|Región de Coquimbo|1|Elqui|6|Paihuano|41|Elqui|253|238|2|9|0|0
2017|4b|5|Región de Valparaíso|1|Petorca|1|La Ligua|51|Quillota - Petorca|263|253|-3|-4|0|0
2017|4b|5|Región de Valparaíso|1|Petorca|2|Petorca|51|Quillota - Petorca|275|262|16|1|1|0
2017|4b|5|Región de Valparaíso|1|Petorca|3|Cabildo|51|Quillota - Petorca|256|248|2|4|0|0
2017|4b|5|Región de Valparaíso|1|Petorca|4|Zapallar|51|Quillota - Petorca|263|260|7|-7|0|0
2017|4b|5|Región de Valparaíso|1|Petorca|5|Papudo|51|Quillota - Petorca|255|264|4|12|0|1
2017|4b|6|Región del Libertador General Bernardo O' Higgins|1|Cachapoal|1|Rancagua|61|Cachapoal|270|265|0|-1|0|0
2017|4b|6|Región del Libertador General Bernardo O' Higgins|1|Cachapoal|2|Graneros|61|Cachapoal|251|239|5|0|0|0
2017|4b|6|Región del Libertador General Bernardo O' Higgins|1|Cachapoal|3|Mostazal|61|Cachapoal|245|232|-2|-4|0|0
2017|4b|6|Región del Libertador General Bernardo O' Higgins|1|Cachapoal|4|Codegua|61|Cachapoal|260|242|12|13|1|1
2017|4b|6|Región del Libertador General Bernardo O' Higgins|1|Cachapoal|5|Machalí|61|Cachapoal|281|281|-4|1|0|0
2017|4b|6|Región del Libertador General Bernardo O' Higgins|1|Cachapoal|6|Olivar|61|Cachapoal|263|264|0|1|0|0
2017|4b|6|Región del Libertador General Bernardo O' Higgins|1|Cachapoal|13|Peumo|61|Cachapoal|264|249|13|-2|1|0
