agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica
2017|4b|24403|1|COLEGIO SIMON BOLIVAR|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|17|LA PINTANA|2|1|1|1|27|27|273|264|19|3|23|26|1|0|1|1|||||18.5|48.1|33.3|29.6|55.6|14.8|0
2017|4b|2917|3|ESCUELA RAUCO|7|DEL MAULE|1|CURICÓ|9|RAUCO|2|1|2|1|36|35|245|228|-20|7|-11|-20|-1|0|-1|-1|||||47.2|30.6|22.2|71.4|17.1|11.4|0
2017|4b|4506|3|ESCUELA HÉROES DE CHILE|8|DEL BIOBÍO|2|BIOBÍO|13|YUMBEL|2|1|1|1|44|45|236|214|0|0|-14|-24|0|0|-1|-1|||2|2|59.1|20.5|20.5|77.8|20|2.2|0
2017|4b|5834|3|ESC. BASICA ALTO MECO|9|DE LA ARAUCANÍA|2|CAUTÍN|2|LAUTARO|2|1|1|2|3|3|262|236|0|0|0|0|0|0|0|0|||2|2|||||||0
2017|4b|7423|3|ESCUELA RURAL ALEJANDRO VASQUEZ BALDEVELLANO|10|DE LOS LAGOS|2|OSORNO|2|SAN PABLO|2|1|2|2|0|1||0||0||0||0||0|1|1|2|2|||||||0
2017|4b|11407|3|ESCUELA BASICA LOS OLIVOS|8|DEL BIOBÍO|1|ÑUBLE|13|RÁNQUIL|2|1|1|2|5|5|291|265|0|0|0|0|0|0|0|0|||1|1|||||||0
2017|4b|14324|3|COLEGIO WILLIAM JAMES|5|DE VALPARAÍSO|5|VALPARAÍSO|2|VIÑA DEL MAR|4|3|5|1|2|3|296|307|0|0|0|0|0|0|0|0|||1|1|||||||0
2017|4b|2894|0|ESCUELA AMELIA VIAL DE CONCHA|7|DEL MAULE|1|CURICÓ|6|HUALAÑÉ|2|1|2|2|14|14|287|306|-2|7|31|58|0|0|1|1|||||14.3|35.7|50|0|35.7|64.3|0
2017|4b|31327|0|COLEGIO ALICANTE DEL VALLE|13|METROPOLITANA DE SANTIAGO|3|CORDILLERA|1|PUENTE ALTO|3|2|4|1|239|242|313|302|3|-9|28|25|0|0|1|1|||||4.6|15.1|80.3|3.7|34.7|61.6|0
2017|4b|5857|2|ESC. BASICA MALPICHAHUE|9|DE LA ARAUCANÍA|2|CAUTÍN|2|LAUTARO|2|1|2|2|2|2|245|204|0|0|0|0|0|0|0|0|||1|1|||||||0
2017|4b|20181|2|COLEGIO SAINT PATRICK SCHOOL|9|DE LA ARAUCANÍA|2|CAUTÍN|1|TEMUCO|3|2|4|1|60|62|316|309|-4|-13|31|32|0|-1|1|1|||||3.3|16.7|80|1.6|32.3|66.1|0
2017|4b|7185|4|ESCUELA PARTICULAR LOS AVELLANOS|14|DE LOS RÍOS|6|DEL RANCO|9|LA UNIÓN|3|2|1|2|0|1||0||0||0||0||0|1|1|1|1|||||||0
2017|4b|8513|8|ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|1|SANTIAGO|2|1|4|1|54|51|262|260|-1|15|-23|-17|0|1|-1|-1|||||37|27.8|35.2|33.3|41.2|25.5|0
2017|4b|8728|9|COLEGIO GEORGE WASHINGTON|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|2|INDEPENDENCIA|3|2|3|1|84|85|255|263|5|-1|-15|1|0|0|-1|0|||||34.5|40.5|25|31.8|47.1|21.2|0
2017|4b|1543|1|ESCUELA JORGE ALESSANDRI RODRIGUEZ|5|DE VALPARAÍSO|5|VALPARAÍSO|1|VALPARAÍSO|1|1|1|1|20|19|249|245|-23|-15|-1|7|-1|0|0|0|||||50|30|20|57.9|36.8|5.3|0
2017|4b|4460|1|ESCUELA LOS PATOS|8|DEL BIOBÍO|2|BIOBÍO|10|NACIMIENTO|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|2|2|||||||0
2017|4b|14539|4|ESCUELA DE LENGUAJE SANTA INES|5|DE VALPARAÍSO|6|SAN ANTONIO|1|SAN ANTONIO|3|2|3|1|16|16|201|195|-8|-16|-69|-67|0|0|-1|-1|||||75|25|0|93.8|0|6.3|0
2017|4b|10125|7|ESCUELA SARGENTO CANDELARIA|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|30|CERRO NAVIA|1|1|2|1|17|16|226|222|11|0|-30|-26|0|0|-1|-1|||||70.6|23.5|5.9|81.3|18.8|0|0
2017|4b|12781|7|AMAZING GRACE ENGLISH SCHOOL|4|DE COQUIMBO|1|ELQUI|1|LA SERENA|4|3|5|1|42|43|312|315|8|16|9|18|0|1|1|1|||||0|16.7|83.3|2.3|25.6|72.1|0
2017|4b|7139|0|ESCUELA RURAL PURRIHUIN|14|DE LOS RÍOS|6|DEL RANCO|9|LA UNIÓN|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|2|2|||||||0
2017|4b|24426|0|ESCUELA PARTICULAR PHILIPPE COUSTEAU|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|14|LA FLORIDA|3|2|3|1|26|26|245|234|-22|-9|-25|-28|-1|0|-1|-1|||||46.2|30.8|23.1|57.7|34.6|7.7|0
