agno|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect4b_com|prom_mate4b_com|dif_lect4b_com|dif_mate4b_com|sigdif_lect4b_com|sigdif_mate4b_com|fecha_bbdd|codigo_bbdd
2018|4b|1|Región de Tarapacá|11|Iquique|1101|Iquique|11|Iquique|275|262|2|0|0|0|20190628|final20190628v1
2018|4b|1|Región de Tarapacá|11|Iquique|1107|Alto Hospicio|11|Iquique|261|246|2|-2|0|0|20190628|final20190628v1
2018|4b|1|Región de Tarapacá|14|Tamarugal|1401|Pozo Almonte|14|Tamarugal|252|243|-4|-13|0|-1|20190628|final20190628v1
2018|4b|1|Región de Tarapacá|14|Tamarugal|1402|Camiña|14|Tamarugal|281|245|13|5|0|0|20190628|final20190628v1
2018|4b|1|Región de Tarapacá|14|Tamarugal|1403|Colchane|14|Tamarugal|223|197|-11|-4|0|0|20190628|final20190628v1
2018|4b|1|Región de Tarapacá|14|Tamarugal|1404|Huara|14|Tamarugal|250|237|26|20|1|1|20190628|final20190628v1
2018|4b|1|Región de Tarapacá|14|Tamarugal|1405|Pica|14|Tamarugal|254|244|13|2|1|0|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|21|Antofagasta|2101|Antofagasta|21|Antofagasta|275|262|2|1|0|0|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|21|Antofagasta|2102|Mejillones|21|Antofagasta|267|261|8|14|0|1|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|21|Antofagasta|2103|Sierra Gorda|21|Antofagasta|234|225|-25|-22|-1|-1|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|21|Antofagasta|2104|Taltal|21|Antofagasta|263|255|0|4|0|0|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|23|Tocopilla|2301|Tocopilla|21|Antofagasta|251|235|0|-5|0|0|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|23|Tocopilla|2302|María Elena|21|Antofagasta|260|260|-4|-18|0|-1|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|22|El Loa|2201|Calama|22|El Loa|276|263|-2|-7|0|-1|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|22|El Loa|2202|Ollagüe|22|El Loa|227|221|0|0|0|0|20190628|final20190628v1
2018|4b|2|Región de Antofagasta|22|El Loa|2203|San Pedro de Atacama|22|El Loa|259|255|-9|-27|0|-1|20190628|final20190628v1
2018|4b|3|Región de Atacama|31|Copiapó|3101|Copiapó|31|Copiapo - Chanaral|267|256|3|0|0|0|20190628|final20190628v1
2018|4b|3|Región de Atacama|31|Copiapó|3102|Caldera|31|Copiapo - Chanaral|262|242|10|1|1|0|20190628|final20190628v1
2018|4b|3|Región de Atacama|31|Copiapó|3103|Tierra Amarilla|31|Copiapo - Chanaral|244|222|17|10|1|1|20190628|final20190628v1
2018|4b|3|Región de Atacama|32|Chañaral|3201|Chañaral|31|Copiapo - Chanaral|262|238|4|-1|0|0|20190628|final20190628v1
2018|4b|3|Región de Atacama|32|Chañaral|3202|Diego de Almagro|31|Copiapo - Chanaral|262|251|3|8|0|0|20190628|final20190628v1
2018|4b|3|Región de Atacama|33|Huasco|3301|Vallenar|32|Huasco - Vallenar|274|262|-2|-1|0|0|20190628|final20190628v1
2018|4b|3|Región de Atacama|33|Huasco|3302|Alto del Carmen|32|Huasco - Vallenar|264|247|-12|-8|-1|0|20190628|final20190628v1
2018|4b|3|Región de Atacama|33|Huasco|3303|Freirina|32|Huasco - Vallenar|243|231|10|0|0|0|20190628|final20190628v1
2018|4b|3|Región de Atacama|33|Huasco|3304|Huasco|32|Huasco - Vallenar|270|254|0|-10|0|-1|20190628|final20190628v1
2018|4b|4|Región de Coquimbo|41|Elqui|4101|La Serena|41|Elqui|278|266|1|-3|0|0|20190628|final20190628v1
2018|4b|4|Región de Coquimbo|41|Elqui|4102|Coquimbo|41|Elqui|269|257|3|-1|0|0|20190628|final20190628v1
2018|4b|4|Región de Coquimbo|41|Elqui|4103|Andacollo|41|Elqui|259|251|-10|-11|-1|-1|20190628|final20190628v1
2018|4b|4|Región de Coquimbo|41|Elqui|4104|La Higuera|41|Elqui|226|213|-21|-40|-1|-1|20190628|final20190628v1
