agno	grado	rbd	dvrbd	nom_rbd	cod_reg_rbd	nom_reg_rbd	cod_pro_rbd	nom_pro_rbd	cod_com_rbd	nom_com_rbd	cod_deprov_rbd	nom_deprov_rbd	cod_depe1	cod_depe2	cod_grupo	cod_rural_rbd	nalu_lect4b_rbd	nalu_mate4b_rbd	prom_lect4b_rbd	prom_mate4b_rbd	dif_lect4b_rbd	dif_mate4b_rbd	difgru_lect4b_rbd	difgru_mate4b_rbd	sigdif_lect4b_rbd	sigdif_mate4b_rbd	siggru_lect4b_rbd	siggru_mate4b_rbd	marca_lect4b_rbd	marca_mate4b_rbd	marcadif_lect4b_rbd	marcadif_mate4b_rbd	palu_eda_ins_lect4b_rbd	palu_eda_ele_lect4b_rbd	palu_eda_ade_lect4b_rbd	palu_eda_ins_mate4b_rbd	palu_eda_ele_mate4b_rbd	palu_eda_ade_mate4b_rbd	noaplica	fecha_bbdd	codigo_bbdd
2018	4b	5	1	JOVINA NARANJO FERNANDEZ	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	3	1	33	35	268	250	-8	-26	-4	-11	0	-1	0	-1					27.3	33.3	39.4	51.4	28.6	20	0	20190628	final20190628v1
2018	4b	8	6	COLEGIO INTEGRADO EDUARDO FREI MONTALVA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	3	1	21	24	275	268	-7	18	3	7	0	1	0	0					28.6	33.3	38.1	33.3	37.5	29.2	0	20190628	final20190628v1
2018	4b	9	4	ESCUELA REPUBLICA DE ISRAEL	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	3	1	144	149	299	288	15	22	27	27	1	1	1	1					10.4	18.1	71.5	14.1	38.9	47	0	20190628	final20190628v1
2018	4b	10	8	ESCUELA REPUBLICA DE FRANCIA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	13	12	250	228	0	-9	-9	-20	0	0	0	-1					30.8	53.8	15.4	58.3	33.3	8.3	0	20190628	final20190628v1
2018	4b	11	6	ESC. GRAL. PEDRO LAGOS MARCHANT	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	47	44	235	200	-2	-29	-24	-48	0	-1	-1	-1					59.6	21.3	19.1	81.8	18.2	0	0	20190628	final20190628v1
2018	4b	12	4	ESCUELA GRAL JOSE MIGUEL CARRERA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	3	1	45	46	257	256	-42	-19	-15	-5	-1	-1	-1	0					35.6	35.6	28.9	39.1	41.3	19.6	0	20190628	final20190628v1
2018	4b	13	2	ESCUELA MANUEL RODRIGUEZ ERDOYZA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	22	22	278	291	11	36	19	43	0	1	1	1					18.2	36.4	45.5	4.5	50	45.5	0	20190628	final20190628v1
2018	4b	14	0	ESCUELA ROMULO J. PENA MATURANA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	24	24	268	258	56	33	9	10	1	1	0	1					33.3	25	41.7	33.3	50	16.7	0	20190628	final20190628v1
2018	4b	15	9	LICEO ARTISTICO DR. JUAN NOE CREVANI	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	3	1	30	30	264	249	23	22	-8	-12	1	1	-1	-1					33.3	36.7	30	46.7	40	13.3	0	20190628	final20190628v1
2018	4b	16	7	ESCUELA REGIMIENTO RANCAGUA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	25	26	231	220	-17	-34	-28	-28	0	-1	-1	-1					60	20	20	76.9	19.2	3.8	0	20190628	final20190628v1
2018	4b	17	5	ESCUELA SUBTTE. LUIS CRUZ MARTINEZ	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	27	26	260	247	11	7	1	-1	0	0	0	0					37	22.2	40.7	50	30.8	19.2	0	20190628	final20190628v1
2018	4b	18	3	ESC. COMTE. JUAN JOSE SAN MARTIN	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	33	33	250	248	-21	-13	-9	0	-1	0	-1	0					45.5	27.3	27.3	42.4	48.5	9.1	0	20190628	final20190628v1
2018	4b	19	1	ESC. HUMBERTO VALENZUELA GARCIA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	35	36	238	221	-11	-15	-21	-27	0	-1	-1	-1					57.1	22.9	20	69.4	27.8	2.8	0	20190628	final20190628v1
2018	4b	20	5	ESCUELA TUCAPEL	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	41	40	240	221	-18	-23	-19	-27	-1	-1	-1	-1					56.1	24.4	19.5	70	27.5	2.5	0	20190628	final20190628v1
2018	4b	22	1	ESCUELA GABRIELA MISTRAL	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	75	80	249	246	7	10	-10	-2	0	1	-1	0					44	33.3	22.7	48.8	41.3	10	0	20190628	final20190628v1
2018	4b	25	6	COLEGIO CENTENARIO DE ARICA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	2	1	42	42	259	265	38	47	0	17	1	1	0	1					33.3	33.3	33.3	31	42.9	26.2	0	20190628	final20190628v1
2018	4b	26	4	ESCUELA REPUBLICA DE ARGENTINA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	3	1	18	18	275	262	-17	-49	3	1	-1	-1	0	0					16.7	22.2	61.1	33.3	38.9	27.8	0	20190628	final20190628v1
2018	4b	27	2	ESCUELA ESMERALDA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	3	1	18	18	295	277	0	13	23	16	0	0	1	1	2	2	3		11.1	27.8	61.1	27.8	44.4	27.8	0	20190628	final20190628v1
2018	4b	28	0	ESCUELA RICARDO SILVA ARRIAGADA	15	Región de Arica y Parinacota	151	ARICA	15101	Arica	151	ARICA	2	1	3	1	27	29	298	279	-9	-8	26	18	0	0	1	1					7.4	25.9	66.7	20.7	34.5	44.8	0	20190628	final20190628v1
