agno|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect4b_com|prom_mate4b_com|dif_lect4b_com|dif_mate4b_com|sigdif_lect4b_com|sigdif_mate4b_com|fecha_bbdd|codigo_bbdd
2022|4b|1|Región de Tarapacá|11|Iquique|1101|Iquique|11|Iquique|265|248|-10|-14|-1|-1|20220927|final20220927v1
2022|4b|1|Región de Tarapacá|11|Iquique|1107|Alto Hospicio|11|Iquique|255|237|-6|-9|0|-1|20220927|final20220927v1
2022|4b|1|Región de Tarapacá|14|Tamarugal|1401|Pozo Almonte|14|Tamarugal|238|231|-14|-12|-1|-1|20220927|final20220927v1
2022|4b|1|Región de Tarapacá|14|Tamarugal|1402|Camiña|14|Tamarugal|260|251|-21|6|-1|0|20220927|final20220927v1
2022|4b|1|Región de Tarapacá|14|Tamarugal|1403|Colchane|14|Tamarugal|235|219|12|22|0|0|20220927|final20220927v1
2022|4b|1|Región de Tarapacá|14|Tamarugal|1404|Huara|14|Tamarugal|231|218|-19|-19|-1|-1|20220927|final20220927v1
2022|4b|1|Región de Tarapacá|14|Tamarugal|1405|Pica|14|Tamarugal|235|222|-19|-22|-1|-1|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|21|Antofagasta|2101|Antofagasta|21|Antofagasta|269|250|-6|-12|0|-1|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|21|Antofagasta|2102|Mejillones|21|Antofagasta|253|243|-14|-18|-1|-1|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|21|Antofagasta|2103|Sierra Gorda|21|Antofagasta|223|220|-11|-5|0|0|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|21|Antofagasta|2104|Taltal|21|Antofagasta|259|237|-4|-18|0|-1|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|22|El Loa|2201|Calama|22|El Loa|267|249|-9|-14|-1|-1|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|22|El Loa|2202|Ollagüe|22|El Loa|280|300|0|0|0|0|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|22|El Loa|2203|San Pedro de Atacama|22|El Loa|258|244|-1|-11|0|-1|20220927|final20220927v1
