agno|grado|cod_reg|nom_reg|cod_deprov|nom_deprov|prom_lect4b_deprov|prom_mate4b_deprov|dif_lect4b_deprov|dif_mate4b_deprov|sigdif_lect4b_deprov|sigdif_mate4b_deprov|fecha_bbdd|codigo_bbdd
2022|4b|1|Región de Tarapacá|11|Iquique|261|243|-8|-13|-1|-1|20220927|final20220927v1
2022|4b|1|Región de Tarapacá|14|Tamarugal|238|228|-15|-14|-1|-1|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|21|Antofagasta|267|248|-5|-12|0|-1|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|22|El Loa|267|249|-8|-13|-1|-1|20220927|final20220927v1
2022|4b|3|Región de Atacama|31|Copiapo - Chanaral|257|236|-8|-15|-1|-1|20220927|final20220927v1
2022|4b|3|Región de Atacama|32|Huasco - Vallenar|263|245|-7|-13|-1|-1|20220927|final20220927v1
2022|4b|4|Región de Coquimbo|41|Elqui|268|249|-5|-12|0|-1|20220927|final20220927v1
2022|4b|4|Región de Coquimbo|42|Limari|265|246|-5|-12|0|-1|20220927|final20220927v1
2022|4b|4|Región de Coquimbo|43|Choapa|261|238|4|-2|0|0|20220927|final20220927v1
2022|4b|5|Región de Valparaíso|51|Quillota - Petorca|261|243|-4|-11|0|-1|20220927|final20220927v1
2022|4b|5|Región de Valparaíso|52|San Felipe - Los Andes|265|245|1|-6|0|0|20220927|final20220927v1
2022|4b|5|Región de Valparaíso|53|Valparaiso - Isla de Pascua|264|249|-4|-9|0|-1|20220927|final20220927v1
2022|4b|5|Región de Valparaíso|54|San Antonio|259|243|-8|-10|-1|-1|20220927|final20220927v1
2022|4b|6|Región del Libertador Bernardo O'higgins|61|Cachapoal|265|249|-5|-10|0|-1|20220927|final20220927v1
2022|4b|6|Región del Libertador Bernardo O'higgins|62|Colchagua|263|249|-8|-11|-1|-1|20220927|final20220927v1
2022|4b|6|Región del Libertador Bernardo O'higgins|63|Cardenal Caro|260|247|-5|-2|0|0|20220927|final20220927v1
2022|4b|7|Región del Maule|71|Curico|269|254|-3|-9|0|-1|20220927|final20220927v1
2022|4b|7|Región del Maule|72|Talca|266|252|-5|-13|0|-1|20220927|final20220927v1
2022|4b|7|Región del Maule|73|Linares|263|248|-8|-13|-1|-1|20220927|final20220927v1
2022|4b|7|Región del Maule|74|Cauquenes|266|251|-13|-15|-1|-1|20220927|final20220927v1
2022|4b|8|Región del Biobío|82|Bio Bio|264|246|-5|-12|0|-1|20220927|final20220927v1
2022|4b|8|Región del Biobío|83|Concepcion|270|252|-5|-11|0|-1|20220927|final20220927v1
2022|4b|8|Región del Biobío|84|Arauco|262|244|-8|-13|-1|-1|20220927|final20220927v1
2022|4b|9|Región de La Araucanía|91|Malleco|261|243|-3|-8|0|-1|20220927|final20220927v1
2022|4b|9|Región de La Araucanía|92|Cautin Norte|266|247|-6|-8|-1|-1|20220927|final20220927v1
2022|4b|9|Región de La Araucanía|93|Cautin Sur|262|242|-3|-6|0|0|20220927|final20220927v1
2022|4b|10|Región de Los Lagos|101|Llanquihue|266|248|-4|-9|0|-1|20220927|final20220927v1
2022|4b|10|Región de Los Lagos|102|Chiloe|263|244|-5|-7|0|-1|20220927|final20220927v1
2022|4b|10|Región de Los Lagos|103|Osorno|266|248|-6|-9|0|-1|20220927|final20220927v1
2022|4b|10|Región de Los Lagos|104|Palena|252|237|-20|-16|-1|-1|20220927|final20220927v1
2022|4b|11|Región de Aysén del General Carlos Ibañe|111|Coyhaique|267|250|0|-3|0|0|20220927|final20220927v1
2022|4b|12|Región de Magallanes y de la Antártica C|121|Magallanes|270|253|-1|-3|0|0|20220927|final20220927v1
2022|4b|13|Región metropolitana de santiago|131|Centro|273|256|-2|-7|0|-1|20220927|final20220927v1
2022|4b|13|Región metropolitana de santiago|132|Sur|263|246|1|-8|0|-1|20220927|final20220927v1
2022|4b|13|Región metropolitana de santiago|133|Oriente|289|277|-2|-8|0|-1|20220927|final20220927v1
2022|4b|13|Región metropolitana de santiago|134|Poniente|266|250|-2|-8|0|-1|20220927|final20220927v1
2022|4b|13|Región metropolitana de santiago|135|Talagante|263|245|-5|-10|0|-1|20220927|final20220927v1
2022|4b|13|Región metropolitana de santiago|136|Cordillera|267|251|-2|-10|0|-1|20220927|final20220927v1
2022|4b|13|Región metropolitana de santiago|137|Norte|269|253|-3|-10|0|-1|20220927|final20220927v1
2022|4b|14|Región de los ríos|141|Valdivia|265|245|-6|-9|0|-1|20220927|final20220927v1
2022|4b|14|Región de los ríos|142|Ranco|262|244|-11|-12|-1|-1|20220927|final20220927v1
2022|4b|15|Región de arica y parinacota|151|Arica|269|251|-12|-14|-1|-1|20220927|final20220927v1
2022|4b|15|Región de arica y parinacota|152|Parinacota|259|234|-5|-26|0|-1|20220927|final20220927v1
2022|4b|16|Región de Ñuble|161|Diguillín|265|249|-10|-15|-1|-1|20220927|final20220927v1
