agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|4b|7423|3|ESCUELA RURAL ALEJANDRO VASQUEZ BALDEVELLANO|10|DE LOS LAGOS|103|OSORNO|10307|SAN PABLO|103|Osorno|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|5834|3|ESC. BASICA ALTO MECO|9|DE LA ARAUCANÍA|91|CAUTÍN|9108|LAUTARO|92|Cautin Norte|2|1|1|2|2|2|239|218|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|4506|3|ESCUELA HÉROES DE CHILE|8|DEL BIOBÍO|83|BIOBÍO|8313|YUMBEL|82|Bio Bio|2|1|2|1|23|24|222|211|-14|1|-33|-27|0|0|-1|-1|||||69.6|26.1|4.3|79.2|20.8|0|0|20231017|final20231017v2
2022|4b|11407|3|ESCUELA BASICA LOS OLIVOS|16|DE ÑUBLE|162|ITATA|16206|RÁNQUIL|161|Diguillín|2|1|1|2|9|9|276|250|0|0|31|22|0|0|1|1|||1|1|||||||0|20231017|final20231017v2
2022|4b|14324|3|COLEGIO WILLIAM JAMES|5|DE VALPARAÍSO|51|VALPARAÍSO|5109|VIÑA DEL MAR|53|Valparaiso - Isla de Pascua|4|3|4|1|5|5|264|231|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|2917|3|ESCUELA RAUCO|7|DEL MAULE|73|CURICÓ|7305|RAUCO|71|Curico|2|1|1|1|25|25|257|238|-2|-2|12|10|0|0|1|1|||||40|32|28|56|24|20|0|20231017|final20231017v2
2022|4b|24403|1|COLEGIO SIMON BOLIVAR|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13112|LA PINTANA|136|Cordillera|2|1|1|1|30|31|196|202|-34|-39|-49|-26|-1|-1|-1|-1|||||90|10|0|90.3|9.7|0|0|20231017|final20231017v2
2022|4b|8728|9|COLEGIO GEORGE WASHINGTON|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13108|INDEPENDENCIA|137|Norte|3|2|2|1|83|83|269|262|8|-1|14|24|0|0|1|1|||||26.5|37.3|36.1|33.7|41|25.3|0|20231017|final20231017v2
2022|4b|8513|8|ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13101|SANTIAGO|131|Centro|2|1|4|1|51|57|265|243|17|-7|-15|-20|1|0|-1|-1|||||39.2|23.5|37.3|49.1|36.8|14|0|20231017|final20231017v2
2022|4b|7185|4|ESCUELA PARTICULAR LOS AVELLANOS|14|DE LOS RÍOS|142|DEL RANCO|14201|LA UNIÓN|142|Ranco|3|2|1|2|4|3|226|193|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|5857|2|ESC. BASICA MALPICHAHUE|9|DE LA ARAUCANÍA|91|CAUTÍN|9108|LAUTARO|92|Cautin Norte|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|20181|2|COLEGIO SAINT PATRICK SCHOOL|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin Norte|3|2|5|1|59|60|296|270|-15|-28|-4|-17|-1|-1|0|-1|||||15.3|25.4|59.3|25|46.7|28.3|0|20231017|final20231017v2
2022|4b|2894|0|ESCUELA AMELIA VIAL DE CONCHA|7|DEL MAULE|73|CURICÓ|7302|HUALAÑÉ|71|Curico|2|1|3|2|21|21|272|270|-30|-22|5|21|-1|-1|0|1|||||19|47.6|33.3|14.3|66.7|19|0|20231017|final20231017v2
2022|4b|31327|0|COLEGIO ALICANTE DEL VALLE|13|METROPOLITANA DE SANTIAGO|132|CORDILLERA|13201|PUENTE ALTO|136|Cordillera|3|2|4|1|182|184|294|279|-27|-23|14|16|-1|-1|1|1|||||13.2|25.3|61.5|19.6|45.1|35.3|0|20231017|final20231017v2
2022|4b|12781|7|AMAZING GRACE ENGLISH SCHOOL|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|4|3|5|1|30|31|297|266|2|-18|-3|-21|0|-1|0|-1|||||13.3|23.3|63.3|35.5|32.3|32.3|0|20231017|final20231017v2
2022|4b|10125|7|ESCUELA SARGENTO CANDELARIA|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13103|CERRO NAVIA|134|Poniente|6|4|2|1|20|21|233|224|-16|-13|-22|-14|0|0|-1|-1|||||60|25|15|66.7|28.6|4.8|0|20231017|final20231017v2
2022|4b|14539|4|ESCUELA SANTA INÉS|5|DE VALPARAÍSO|56|SAN ANTONIO|5601|SAN ANTONIO|54|San Antonio|3|2|3|1|9|7|231|196|-9|-15|-36|-53|0|0|-1|-1||2||3|||||||0|20231017|final20231017v2
2022|4b|1543|1|ESCUELA JORGE ALESSANDRI RODRIGUEZ|5|DE VALPARAÍSO|51|VALPARAÍSO|5101|VALPARAÍSO|53|Valparaiso - Isla de Pascua|6|4|1|1|13|14|276|255|0|7|31|27|0|0|1|1|||||30.8|23.1|46.2|28.6|57.1|14.3|0|20231017|final20231017v2
2022|4b|69|8|JUNIOR COLLEGE|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|4|3|5|1|60|61|310|283|-16|-16|10|-4|-1|-1|1|0|||||6.7|15|78.3|16.4|42.6|41|0|20231017|final20231017v2
2022|4b|31373|4|COLEGIO SAINT JOSEPH SCHOOL|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13107|HUECHURABA|137|Norte|4|3|5|1|33|32|316|298|11|-5|16|11|0|0|1|1|||||9.1|12.1|78.8|12.5|21.9|65.6|0|20231017|final20231017v2
2022|4b|192|9|ESCUELA BASICA MAMINA|1|DE TARAPACÁ|14|TAMARUGAL|1401|POZO ALMONTE|14|Tamarugal|1|1|2|2|7|5|269|231|6|0|14|0|0|0|0|0||||1|||||||0|20231017|final20231017v2
2022|4b|13188|1|COLEGIO CERVANTINO|3|DE ATACAMA|31|COPIAPÓ|3101|COPIAPÓ|31|Copiapo - Chanaral|3|2|4|1|68|71|268|254|-21|-21|-12|-9|-1|-1|-1|-1|||||32.4|32.4|35.3|43.7|43.7|12.7|0|20231017|final20231017v2
2022|4b|24426|0|ESCUELA PARTICULAR PHILIPPE COUSTEAU|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13110|LA FLORIDA|136|Cordillera|3|2|3|1|27|30|253|241|-1|15|-14|-8|0|1|-1|-1|||||33.3|40.7|25.9|46.7|46.7|6.7|0|20231017|final20231017v2
2022|4b|11430|8|COLEGIO TERESIANO PADRE ENRIQUE|8|DEL BIOBÍO|83|BIOBÍO|8306|NACIMIENTO|82|Bio Bio|3|2|4|1|81|79|275|259|-18|-24|-5|-4|-1|-1|-1|0|||||27.2|28.4|44.4|40.5|34.2|25.3|0|20231017|final20231017v2
2022|4b|10102|8|ESCUELA ALBERT EINSTEIN|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13124|PUDAHUEL|134|Poniente|6|4|2|1|15|15|285|254|28|6|30|16|1|0|1|1|||||6.7|40|53.3|46.7|33.3|20|0|20231017|final20231017v2
2022|4b|1397|8|ESCUELA PARTICULAR INDUSTRIAL E. BERTELSEN T|5|DE VALPARAÍSO|55|QUILLOTA|5501|QUILLOTA|51|Quillota - Petorca|3|2|3|1|98|98|262|261|-14|-7|-5|12|-1|0|0|1|||||31.6|31.6|36.7|33.7|46.9|19.4|0|20231017|final20231017v2
2022|4b|24311|6|COLEGIO FRANCES|12|DE MAGALLANES Y DE LA ANT|121|MAGALLANES|12101|PUNTA ARENAS|121|Magallanes|3|2|3|1|22|24|263|252|-1|14|-4|3|0|0|0|0|||||36.4|31.8|31.8|41.7|41.7|16.7|0|20231017|final20231017v2
2022|4b|92|2|ESCUELA CHISLLUMA|15|DE ARICA Y PARINACOTA|152|PARINACOTA|15202|GENERAL LAGOS|152|Parinacota|6|4|4|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|11576|2|ESCUELA PARTICULAR N.290 LOS RADALES|10|DE LOS LAGOS|101|LLANQUIHUE|10105|FRUTILLAR|101|Llanquihue|3|2|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|25639|0|ESCUELA BASICA Y ESPECIAL N° 1905 JACARANDA|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13128|RENCA|134|Poniente|3|2|3|1|41|38|234|235|-32|-16|-33|-14|-1|-1|-1|-1|||||53.7|31.7|14.6|63.2|28.9|7.9|0|20231017|final20231017v2
2022|4b|10171|0|ESCUELA PARTICULAR VILLA LOURDES|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13117|LO PRADO|134|Poniente|3|2|2|1|58|60|277|273|0|0|22|35|0|0|1|1|||3|3|22.4|34.5|43.1|28.3|35|36.7|0|20231017|final20231017v2
2022|4b|430|8|LICEO POLITÉCNICO BELÉN|3|DE ATACAMA|31|COPIAPÓ|3101|COPIAPÓ|31|Copiapo - Chanaral|3|2|3|1|64|66|265|226|2|-33|-2|-23|0|-1|0|-1|||||29.7|31.3|39.1|65.2|31.8|3|0|20231017|final20231017v2
2022|4b|4414|8|ESCUELA BASICA MUNILQUE IZAURIETA|8|DEL BIOBÍO|83|BIOBÍO|8305|MULCHÉN|82|Bio Bio|2|1|1|2|2|2|289|208|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|4337|0|ESCUELA BASICA LA HOYADA|8|DEL BIOBÍO|83|BIOBÍO|8309|QUILLECO|82|Bio Bio|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|2748|0|ESCUELA REPUBLICA ARGENTINA|7|DEL MAULE|73|CURICÓ|7301|CURICÓ|71|Curico|2|1|1|1|17|18|243|228|7|15|-2|0|0|0|0|0|||||52.9|29.4|17.6|55.6|44.4|0|0|20231017|final20231017v2
2022|4b|3086|4|ESCUELA LOS MONTES|7|DEL MAULE|71|TALCA|7109|SAN CLEMENTE|72|Talca|2|1|2|2|11|11|276|266|37|29|21|28|1|1|1|1|||||18.2|45.5|36.4|27.3|45.5|27.3|0|20231017|final20231017v2
