agno|grado|cod_reg|nom_reg|prom_lect4b_reg|prom_mate4b_reg|dif_lect4b_reg|dif_mate4b_reg|sigdif_lect4b_reg|sigdif_mate4b_reg|fecha_bbdd|codigo_bbdd
2022|4b|1|Región de Tarapacá|259|242|-9|-13|-1|-1|20220927|final20220927v1
2022|4b|2|Región de Antofagasta|267|248|-6|-12|-1|-1|20220927|final20220927v1
2022|4b|3|Región de Atacama|258|238|-8|-14|-1|-1|20220927|final20220927v1
2022|4b|4|Región de Coquimbo|267|247|-3|-11|0|-1|20220927|final20220927v1
2022|4b|5|Región de Valparaíso|263|247|-3|-8|0|-1|20220927|final20220927v1
2022|4b|6|Región del Libertador Bernardo O'higgins|264|249|-6|-10|-1|-1|20220927|final20220927v1
2022|4b|7|Región del Maule|266|251|-6|-13|-1|-1|20220927|final20220927v1
2022|4b|8|Región del Biobío|268|249|-6|-12|-1|-1|20220927|final20220927v1
2022|4b|9|Región de La Araucanía|264|245|-5|-8|0|-1|20220927|final20220927v1
2022|4b|10|Región de Los Lagos|266|247|-5|-9|0|-1|20220927|final20220927v1
2022|4b|11|Región de Aysén del General Carlos Ibañez del Campo|267|250|0|-3|0|0|20220927|final20220927v1
2022|4b|12|Región de Magallanes y de la Antártica Chilena|270|253|-1|-3|0|0|20220927|final20220927v1
2022|4b|13|Región metropolitana de santiago|270|255|-2|-8|0|-1|20220927|final20220927v1
2022|4b|14|Región de los ríos|264|245|-8|-11|-1|-1|20220927|final20220927v1
2022|4b|15|Región de arica y parinacota|269|251|-12|-15|-1|-1|20220927|final20220927v1
2022|4b|16|Región de Ñuble|265|249|-10|-15|-1|-1|20220927|final20220927v1
