cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect4b_com;prom_mate4b_com;dif_lect4b_com;dif_mate4b_com;sigdif_lect4b_com;sigdif_mate4b_com;fecha_bbdd;codigo_bbdd;grado;agno
1;Región de Tarapacá;11;Iquique;1101;Iquique;11;Iquique;272;255;7;7;1;1;20240418;final20240418v1;4b;2023
1;Región de Tarapacá;11;Iquique;1107;Alto Hospicio;11;Iquique;259;246;4;9;0;1;20240418;final20240418v1;4b;2023
1;Región de Tarapacá;14;Tamarugal;1401;Pozo Almonte;14;Tamarugal;256;245;18;14;1;1;20240418;final20240418v1;4b;2023
1;Región de Tarapacá;14;Tamarugal;1402;Camiña;14;Tamarugal;259;251;-1;0;0;0;20240418;final20240418v1;4b;2023
1;Región de Tarapacá;14;Tamarugal;1403;Colchane;14;Tamarugal;208;178;-27;-41;-1;-1;20240418;final20240418v1;4b;2023
1;Región de Tarapacá;14;Tamarugal;1404;Huara;14;Tamarugal;222;235;-9;17;0;1;20240418;final20240418v1;4b;2023
1;Región de Tarapacá;14;Tamarugal;1405;Pica;14;Tamarugal;246;232;11;10;1;0;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;21;Antofagasta;2101;Antofagasta;21;Antofagasta;275;259;6;9;0;1;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;21;Antofagasta;2102;Mejillones;21;Antofagasta;259;237;6;-6;0;0;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;21;Antofagasta;2103;Sierra Gorda;21;Antofagasta;242;242;19;22;1;1;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;21;Antofagasta;2104;Taltal;21;Antofagasta;264;248;5;11;0;1;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;22;El Loa;2201;Calama;22;El Loa;274;259;7;10;1;1;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;22;El Loa;2202;Ollagüe;22;El Loa;276;294;0;0;0;0;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;22;El Loa;2203;San Pedro de Atacama;22;El Loa;255;251;-3;7;0;0;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;23;Tocopilla;2301;Tocopilla;21;Antofagasta;258;242;10;17;1;1;20240418;final20240418v1;4b;2023
2;Región de Antofagasta;23;Tocopilla;2302;María Elena;21;Antofagasta;254;230;-2;-2;0;0;20240418;final20240418v1;4b;2023
