cod_reg|nom_reg|cod_deprov|nom_deprov|prom_lect4b_deprov|prom_mate4b_deprov|dif_lect4b_deprov|dif_mate4b_deprov|sigdif_lect4b_deprov|sigdif_mate4b_deprov|fecha_bbdd|codigo_bbdd|grado|agno
1|Región de Tarapacá|11|Iquique|267|251|6|8|0|1|20240418|final20240418v1|4b|2023
1|Región de Tarapacá|14|Tamarugal|250|239|12|11|1|1|20240418|final20240418v1|4b|2023
2|Región de Antofagasta|21|Antofagasta|273|257|6|9|1|1|20240418|final20240418v1|4b|2023
2|Región de Antofagasta|22|El Loa|273|258|6|9|0|1|20240418|final20240418v1|4b|2023
3|Región de Atacama|31|Copiapo - Chanaral|272|256|15|20|1|1|20240418|final20240418v1|4b|2023
3|Región de Atacama|32|Huasco - Vallenar|270|256|7|11|1|1|20240418|final20240418v1|4b|2023
4|Región de Coquimbo|41|Elqui|272|257|4|8|0|1|20240418|final20240418v1|4b|2023
4|Región de Coquimbo|42|Limari|267|256|2|10|0|1|20240418|final20240418v1|4b|2023
4|Región de Coquimbo|43|Choapa|262|241|1|3|0|0|20240418|final20240418v1|4b|2023
5|Región de Valparaíso|51|Quillota - Petorca|267|253|6|10|1|1|20240418|final20240418v1|4b|2023
5|Región de Valparaíso|52|San Felipe - Los Andes|269|253|4|8|0|1|20240418|final20240418v1|4b|2023
5|Región de Valparaíso|53|Valparaiso - Isla de Pascua|268|255|4|6|0|1|20240418|final20240418v1|4b|2023
5|Región de Valparaíso|54|San Antonio|264|248|5|5|0|0|20240418|final20240418v1|4b|2023
6|Región del Libertador Bernardo O'higgins|61|Cachapoal|270|257|5|8|0|1|20240418|final20240418v1|4b|2023
6|Región del Libertador Bernardo O'higgins|62|Colchagua|271|260|8|11|1|1|20240418|final20240418v1|4b|2023
6|Región del Libertador Bernardo O'higgins|63|Cardenal Caro|263|248|3|1|0|0|20240418|final20240418v1|4b|2023
7|Región del Maule|71|Curico|273|262|4|8|0|1|20240418|final20240418v1|4b|2023
7|Región del Maule|72|Talca|273|262|7|10|1|1|20240418|final20240418v1|4b|2023
7|Región del Maule|73|Linares|269|258|6|10|1|1|20240418|final20240418v1|4b|2023
7|Región del Maule|74|Cauquenes|271|257|5|6|0|0|20240418|final20240418v1|4b|2023
8|Región del Biobío|82|Bio Bio|272|259|8|13|1|1|20240418|final20240418v1|4b|2023
8|Región del Biobío|83|Concepcion|275|260|5|8|0|1|20240418|final20240418v1|4b|2023
8|Región del Biobío|84|Arauco|267|252|5|8|0|1|20240418|final20240418v1|4b|2023
9|Región de La Araucanía|91|Malleco|266|251|5|8|0|1|20240418|final20240418v1|4b|2023
9|Región de La Araucanía|92|Cautin Norte|271|256|5|9|0|1|20240418|final20240418v1|4b|2023
9|Región de La Araucanía|93|Cautin Sur|267|251|5|9|0|1|20240418|final20240418v1|4b|2023
10|Región de Los Lagos|101|Llanquihue|271|256|5|8|0|1|20240418|final20240418v1|4b|2023
10|Región de Los Lagos|102|Chiloe|268|254|5|10|0|1|20240418|final20240418v1|4b|2023
10|Región de Los Lagos|103|Osorno|270|257|4|9|0|1|20240418|final20240418v1|4b|2023
10|Región de Los Lagos|104|Palena|265|249|13|12|1|1|20240418|final20240418v1|4b|2023
11|Región de Aysén del General Carlos Ibañez del Campo|111|Coyhaique|267|252|0|2|0|0|20240418|final20240418v1|4b|2023
12|Región de Magallanes y de la Antártica Chilena|121|Magallanes|272|259|2|6|0|1|20240418|final20240418v1|4b|2023
13|Región metropolitana de santiago|131|Centro|276|260|3|4|0|0|20240418|final20240418v1|4b|2023
13|Región metropolitana de santiago|132|Sur|267|254|4|8|0|1|20240418|final20240418v1|4b|2023
13|Región metropolitana de santiago|133|Oriente|292|284|3|7|0|1|20240418|final20240418v1|4b|2023
13|Región metropolitana de santiago|134|Poniente|271|257|5|7|0|1|20240418|final20240418v1|4b|2023
13|Región metropolitana de santiago|135|Talagante|269|255|6|10|1|1|20240418|final20240418v1|4b|2023
13|Región metropolitana de santiago|136|Cordillera|271|259|4|8|0|1|20240418|final20240418v1|4b|2023
13|Región metropolitana de santiago|137|Norte|273|262|4|9|0|1|20240418|final20240418v1|4b|2023
14|Región de los ríos|141|Valdivia|269|253|4|8|0|1|20240418|final20240418v1|4b|2023
14|Región de los ríos|142|Ranco|270|253|8|9|1|1|20240418|final20240418v1|4b|2023
15|Región de arica y parinacota|151|Arica|277|264|8|13|1|1|20240418|final20240418v1|4b|2023
15|Región de arica y parinacota|152|Parinacota|263|259|4|25|0|1|20240418|final20240418v1|4b|2023
16|Región de Ñuble|161|Diguillín|271|261|6|12|1|1|20240418|final20240418v1|4b|2023
