rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
11407;3;ESCUELA BASICA LOS OLIVOS;16;DE ÑUBLE;162;ITATA;16206;RÁNQUIL;161;Diguillín;2;1;1;2;4;4;244;219;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
14324;3;COLEGIO WILLIAM JAMES;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;4;3;5;1;2;2;269;266;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
24403;1;COLEGIO SIMON BOLIVAR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13112;LA PINTANA;136;Cordillera;2;1;1;1;15;19;238;215;;13;;-22;;0;;-1;2;;1;;46.7;40.0;13.3;68.4;31.6;0.0;0;20240418;final20240418v1;4b;2023
2917;3;ESCUELA RAUCO;7;DEL MAULE;73;CURICÓ;7305;RAUCO;71;Curico;2;1;1;1;20;20;236;227;-21;-11;-15;-10;-1;0;-1;-1;;;;;45.0;40.0;15.0;60.0;40.0;0.0;0;20240418;final20240418v1;4b;2023
4506;3;ESCUELA HÉROES DE CHILE;8;DEL BIOBÍO;83;BIOBÍO;8313;YUMBEL;82;Bio Bio;2;1;1;1;30;30;240;227;18;16;-11;-10;1;1;-1;-1;;;;;63.3;10.0;26.7;63.3;36.7;0.0;0;20240418;final20240418v1;4b;2023
5834;3;ESC. BASICA ALTO MECO;9;DE LA ARAUCANÍA;91;CAUTÍN;9108;LAUTARO;92;Cautin Norte;2;1;1;2;2;2;315;244;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
7423;3;ESCUELA RURAL ALEJANDRO VASQUEZ BALDEVELLANO;10;DE LOS LAGOS;103;OSORNO;10307;SAN PABLO;103;Osorno;2;1;;2;0;0;;;;;;;;;;;;;;;;;;;;;2;20240418;final20240418v1;4b;2023
20181;2;COLEGIO SAINT PATRICK SCHOOL;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;3;2;5;1;55;55;313;296;17;26;11;4;1;1;1;0;;;;;5.5;25.5;69.1;16.4;29.1;54.5;0;20240418;final20240418v1;4b;2023
2894;0;ESCUELA AMELIA VIAL DE CONCHA;7;DEL MAULE;73;CURICÓ;7302;HUALAÑÉ;71;Curico;2;1;2;2;22;22;272;272;0;2;12;25;0;0;1;1;;;;;22.7;40.9;36.4;18.2;50.0;31.8;0;20240418;final20240418v1;4b;2023
31327;0;COLEGIO ALICANTE DEL VALLE;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;4;1;222;223;294;289;0;10;12;21;0;1;1;1;;;;;14.0;24.8;61.3;13.0;42.6;44.4;0;20240418;final20240418v1;4b;2023
